år,navn,platform,Platform/OS version,udvikler,udgiver,Spilllets url,Udviklers URL,omtale URL,Anmeldelse URL,Screenshot,Video,Metascore,Genre,Noter,Cover,i beholdning,unikke titler,Fysisk medie,Online,Mobil(portal),Konsolportal + steam,Sorteringsår,Har på lokal maskine (server),I Netarkivet,Netarkivet URL - til spil eller landing page,Netarkivering - noter,Har Rex-post,Itunes Info,Games Preingest - Placering (OBS: inkomplet registrering),Alternative titler,Kolonne1,Kolonne2,Kolonne3,Kolonne4,Kolonne5,Kolonne6,Kolonne7,Kolonne8,Kolonne9,Kolonne10,Kolonne11,Kolonne12,Kolonne13,Kolonne14,Kolonne15,Kolonne16,Kolonne17,Kolonne18,Kolonne19,Kolonne20,Kolonne21,Kolonne22,Kolonne23,Kolonne24,Kolonne25,Kolonne26,Kolonne27,Kolonne28,Kolonne29,Kolonne30,Kolonne31,Kolonne32,Kolonne33,Kolonne34,Kolonne35,Kolonne36,Kolonne37,Kolonne38,Kolonne39,Kolonne40,Kolonne41,Kolonne42,Kolonne43,Kolonne44,Kolonne45,Kolonne46,Kolonne47,Kolonne48,Kolonne49,Kolonne50,Kolonne51,Kolonne52,Kolonne53,Kolonne54,Kolonne55,Kolonne56,Kolonne57,Kolonne58,Kolonne59,Kolonne60,Kolonne61,Kolonne62,Kolonne63,Kolonne64,Kolonne65,Kolonne66,Kolonne67,Kolonne68,Kolonne69,Kolonne70,Kolonne71,Kolonne72,Kolonne73,Kolonne74,Kolonne75,Kolonne76,Kolonne77,Kolonne78,Kolonne79,Kolonne80,Kolonne81,Kolonne82,Kolonne83,Kolonne84,Kolonne85,Kolonne86,Kolonne87,Kolonne88,Kolonne89,Kolonne90,Kolonne91,Kolonne92,Kolonne93,Kolonne94,Kolonne95,Kolonne96,Kolonne97,Kolonne98,Kolonne99,Kolonne100,Kolonne101,Kolonne102,Kolonne103,Kolonne104,Kolonne105,Kolonne106,Kolonne107,Kolonne108,Kolonne109,Kolonne110,Kolonne111,Kolonne112,Kolonne113,Kolonne114,Kolonne115,Kolonne116,Kolonne117,Kolonne118,Kolonne119,Kolonne120,Kolonne121,Kolonne122,Kolonne123,Kolonne124,Kolonne125,Kolonne126,Kolonne127,Kolonne128,Kolonne129,Kolonne130,Kolonne131,Kolonne132,Kolonne133,Kolonne134,Kolonne135,Kolonne136,Kolonne137,Kolonne138,Kolonne139,Kolonne140,Kolonne141,Kolonne142,Kolonne143,Kolonne144,Kolonne145,Kolonne146,Kolonne147,Kolonne148,Kolonne149,Kolonne150,Kolonne151,Kolonne152,Kolonne153,Kolonne154,Kolonne155,Kolonne156,Kolonne157,Kolonne158,Kolonne159,Kolonne160,Kolonne161,Kolonne162,Kolonne163,Kolonne164,Kolonne165,Kolonne166,Kolonne167,Kolonne168,Kolonne169,Kolonne170,Kolonne171,Kolonne172,Kolonne173,Kolonne174,Kolonne175,Kolonne176,Kolonne177,Kolonne178,Kolonne179,Kolonne180,Kolonne181,Kolonne182,Kolonne183,Kolonne184,Kolonne185,Kolonne186,Kolonne187,Kolonne188,Kolonne189,Kolonne190,Kolonne191,Kolonne192,Kolonne193,Kolonne194,Kolonne195,Kolonne196,Kolonne197,Kolonne198,Kolonne199,Kolonne200,Kolonne201,Kolonne202,Kolonne203,Kolonne204,Kolonne205,Kolonne206,Kolonne207,Kolonne208,Kolonne209,Kolonne210,Kolonne211,Kolonne212,Kolonne213,Kolonne214,Kolonne215,Kolonne216,Kolonne217,Kolonne218,Kolonne219,Kolonne220,Kolonne221,Kolonne222,Kolonne223,Kolonne224,Kolonne225
2009,Xtreme Box+,Win (Download),,Solgryn / Grynsoft,Solgryn / Grynsoft,http://solgryn.org/Stuff/XtremeBox/XtremeBox.zip,solgryn.org / grynsoft.com,,,,,,,Visse af Solgryns spil kræver filen cncs32.dll - http://solgryn.org/cncs32.zip,,1,1,0,1,0,0,2009/01/25,1,1,http://solgryn.org/Stuff/XtremeBox/XtremeBox.zip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,Blob's Bubble Buster Adventure,Win (Download),,Solgryn / Grynsoft,Solgryn / Grynsoft,http://solgryn.org/Stuff/BBBA/BBBA.zip,solgryn.org / grynsoft.com,,,,,,,Visse af Solgryns spil kræver filen cncs32.dll - http://solgryn.org/cncs32.zip,,1,1,0,1,0,0,2009/02/01,1,1,http://solgryn.org/Stuff/BBBA/BBBA.zip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,Sketch Stacker,Win (Download),,Solgryn / Grynsoft,Solgryn / Grynsoft,http://solgryn.org/Stuff/SketchStacker/SketchStacker.zip,solgryn.org / grynsoft.com,,,,,,,Visse af Solgryns spil kræver filen cncs32.dll - http://solgryn.org/cncs32.zip,,1,1,0,1,0,0,2009/02/10,1,1,http://solgryn.org/Stuff/SketchStacker/SketchStacker.zip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,Artificial Junk,Web (Flash),,WackieDK,WackieDK,http://www.newgrounds.com/portal/view/484208,mikianthony.com,,,,,,,,,0,1,0,1,0,0,2009/02/21,0,0,http://uploads.ungrounded.net/484000/484208_Artificial_Junk_Reconstruc.swf?123,tjek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,Mayhem,Win (Download),,Solgryn / Grynsoft,Solgryn / Grynsoft,http://solgryn.org/Stuff/Mayhem/Mayhem.zip,solgryn.org / grynsoft.com,,,,,,,Visse af Solgryns spil kræver filen cncs32.dll - http://solgryn.org/cncs32.zip,,1,1,0,1,0,0,2009/02/23,1,1,http://solgryn.org/Stuff/Mayhem/Mayhem.zip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,Kitchen Conflict,PC (XNA),,Ukendt,IndieJam,http://madsdj.dk/apps/KitchenConflict.zip,http://indiejam.dk/kitchen-conflict/,,,http://indiejam.dk/wp-content/uploads/2012/03/Screen-Shot-2012-03-16-at-9.12.47-PM-300x214.png,,,,,,1,1,0,1,0,0,2009/02/28,0,1,http://madsdj.dk/apps/KitchenConflict.zip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,Oh shit! Zombies!,PC (XNA),,"Tim Garbos, David Wind, Emil Kjæhr",IndieJam,http://indiejam.dk/oh-shit-zombies/,http://indiejam.dk/oh-shit-zombies/,,,http://indiejam.dk/wp-content/uploads/2012/03/osz.jpg,,,,,,0,1,0,1,0,0,2009/02/28,0,0,Ingen Download-url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,The Scaglietti,Windows/Mac/Linux/Web,,ATP Projects,,https://atpprojects.itch.io/scaglietti,https://atpprojects.wordpress.com/,,,,,,,Character Art af Vatina (Lonnie T. Brandt),,1,1,0,1,0,0,2009/03/20,,,,,,,\Flere spil plus oversigt\Lonnie T. Brandt\The Scaglietti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,Blob's Skyscraper,Win (Download),,Solgryn / Grynsoft,Solgryn / Grynsoft,http://solgryn.org/BS.rar,solgryn.org / grynsoft.com,,,,,,,Visse af Solgryns spil kræver filen cncs32.dll - http://solgryn.org/cncs32.zip,,1,1,0,1,0,0,2009/04/07,1,0,http://solgryn.org/BS.rar,"Link virker ikke på site. Men man kan right-click + ""Save link as""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,Blob's Adventure,Win (Download),,Solgryn / Grynsoft,Solgryn / Grynsoft,http://solgryn.org/Stuff/BlobsAdventure2/BlobsAdventure2.zip,solgryn.org / grynsoft.com,,,,,,,Visse af Solgryns spil kræver filen cncs32.dll - http://solgryn.org/cncs32.zip,,1,1,0,1,0,0,2009/04/11,1,1,http://solgryn.org/Stuff/BlobsAdventure2/BlobsAdventure2.zip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,Tribal trouble tower defense,iOS,,Oddlabs,oddlabs,https://itunes.apple.com/dk/app/tribal-trouble-tower-defense/id312475963?mt=8,oddlabs.dk,,,http://a1.mzstatic.com/us/r1000/054/Purple/33/5d/a5/mzl.xrihtxcb.320x480-75.jpg,,,,Version 1.0 hentet 27/6/13,,1,0,0,0,1,0,2009/04/22,1,0,https://itunes.apple.com/dk/app/tribal-trouble-tower-defense/id312475963?mt=8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,Evader,Win (Download),,Solgryn / Grynsoft,Solgryn / Grynsoft,http://solgryn.org/Stuff/Evader/Evader.zip,solgryn.org / grynsoft.com,,,,,,,Visse af Solgryns spil kræver filen cncs32.dll - http://solgryn.org/cncs32.zip,,1,1,0,1,0,0,2009/04/23,1,1,http://solgryn.org/Stuff/Evader/Evader.zip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,Locked 2009,Win (Download),,Solgryn / Grynsoft,Solgryn / Grynsoft,http://create-games.com/downout.asp?id=7778,solgryn.org / grynsoft.com,,,,,,,Visse af Solgryns spil kræver filen cncs32.dll - http://solgryn.org/cncs32.zip,,1,1,0,1,0,0,2009/05/24,1,1,http://create-games.com/downout.asp?id=7778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,Angelic Orbs: Broken Memories,Windows/Mac/Linux,,White Cat Games (Lonnie T. Brandt),White Cat Games,https://renai.us/game/angelic_orbs,http://www.the-white-cat.com/,,,,,,,,,1,1,0,0,0,0,2009/05/25,,,,,,,\Flere spil plus oversigt\Lonnie T. Brandt\Angelic Orbs - Broken Memories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,GoGo Kart (Alpha),Web (Flash),,blaavogn.dk,blaavogn.dk,http://www.kongregate.com/games/rasmusklump/gogo-kart-alpha,blaavogn.dk,,,,,,,,,0,1,0,1,0,0,2009/06/01,0,0,http://www.kongregate.com/games/rasmusklump/gogo-kart-alpha,flash kan sikkert ikke arkiveres… skal tjekkes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,Blobomb,Win (Download),,Solgryn / Grynsoft,Solgryn / Grynsoft,http://solgryn.org/Stuff/Blobomb/Blobomb.zip,solgryn.org / grynsoft.com,,,,,,,Visse af Solgryns spil kræver filen cncs32.dll - http://solgryn.org/cncs32.zip,,1,1,0,1,0,0,2009/06/29,1,1,http://solgryn.org/Stuff/Blobomb/Blobomb.zip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,WordIt,Web (Flash),,Creative Spark Studios,,http://www.abstracttravels.com/wordit/index.html,http://www.abstracttravels.com,,,,,,,,,1,1,0,1,0,0,2009/07/01,0,1,http://www.abstracttravels.com/wordit/index.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,My Eternal Rival,Windows/Mac/Linux,,"Chronoluminaire, Dave the Twisted, SakeVisual, Vatina (Lonnie T. Brandt)",,https://lemmasoft.renai.us/forums/viewtopic.php?f=11&t=5540,,,,,,,,"Del af The Cute, Light and Fluffy Project",,1,1,0,0,0,0,2009/07/28,,,,,,,"\Flere spil plus oversigt\Lonnie T. Brandt\The Cute, Light, and Fluffy Project",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,Obliterate,iOS,,LogicWork,LogicWork,http://www.appstorehq.com/obliterate-iphone-59509/app,http://www.logicwork.net,,,,http://logicwork.net/Games/Obliterate/Obliterate.htm?,,,Ikke tilgængeligt på AppStore 10/01/13,,0,1,0,0,1,0,2009/07/29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,Pong Double,iOS,,EnoraSoftware,EnoraSoftware,http://itunes.apple.com/us/app/pong-double/id335849501?mt=8,http://www.enora.dk/,,http://appstruck.com/2009/11/iPhone-App-Review-pong-double/,,,,,Ikke tilgængeligt på AppStore 10/01/13,,0,1,0,0,1,0,2009/08/01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,ABCzoo,Web ,,ABCzoo,,http://www.abczoo.dk,www.abczoo.dk,,http://www.reviewer.dk/0241-ABCzoo-anmeldelse.aspx,,,,,,,0,1,0,1,0,0,2009/09/09,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,Henagon,iOS,,LogicWork,,,http://www.logicwork.net,,,http://www.gamespot.com/iphone/puzzle/henagon/images/0/1/?tag=thumbs_below%3Bthumb%3B1,,,,Ikke tilgængeligt på AppStore 10/01/13,,0,1,0,0,1,0,2009/09/10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,Mystery Mania,iOS,,Progressive Media,EA Mobile,http://itunes.apple.com/dk/app/mystery-mania/id329207126?mt=8,http://www.progressivemedia.dk/,,http://politiken.dk/tjek/digitalt/spil/article1005893.ece,,,,,,,1,1,0,0,1,0,2009/09/15,1,,,,,Version 1.1.27 - 03/09/10 - Iphone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,Whac-a-Mole,iOS,,Kiloo ApS,Kiloo Aps,http://itunes.apple.com/dk/app/whac-a-mole/id330629806?mt=8,http://www.kiloo.com,,,,,,,Ikke tilgængeligt på AppStore 10/01/13,,0,1,0,0,1,0,2009/09/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,A Taste of Honey,Windows/Mac/Linux,,Fred Warren,,https://lemmasoft.renai.us/forums/viewtopic.php?f=11&t=5887,,,,,,,,Character Art af Vatina (Lonnie T. Brandt),,0,1,0,0,0,0,2009/09/27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,Smack Boxing,iOS,,Full Control ApS og WIT Entertainment,Full Control ApS,http://itunes.apple.com/us/app/smack-boxing/id296072921?mt=8,http://www.fullcontrol.dk,,,,http://www.youtube.com/watch?v=2LSxuhj_rS4,,,,,1,1,0,0,1,0,2009/10/07,1,,,,,Version 2.0.2 - 07/10/09 - Iphone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,Monster Ball,iOS,,Full Control ApS,Full Control Aps,http://itunes.apple.com/app/monster-ball/id335569823?mt=8 ,http://www.fullcontrol.dk/,,,,,,,,,1,1,0,0,1,0,2009/10/30,1,,,,,Version 1.0 - 30/10/09 - Iphone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,Fuck Up Earth,PC (Download) (GameMaker 6.1a),,"Tim Olsen, Jeff, Kim",IndieJam,http://indiejam.dk/wp-content/uploads/2012/03/Fuck-Up-Earth.zip,http://indiejam.dk/fuck-up-earth/,,,http://indiejam.dk/wp-content/uploads/2012/03/FuckUpEarth_intro-300x225.png,,,,,,1,1,0,1,0,0,2009/10/30,0,1,http://indiejam.dk/wp-content/uploads/2012/03/Fuck-Up-Earth.zip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,Climate Conflict,Web (Unity),,"Jacob Korsgaard, Brian Martin Nielsen",IndieJam,http://indiejam.dk/games/indie9000/Okt2009/ClimateConflict/WebPlayer.html,http://indiejam.dk/climate-conflict/,,,http://indiejam.dk/wp-content/uploads/2012/03/CCfront1-300x226.png,,,,,,1,1,0,1,0,0,2009/10/30,0,1,http://indiejam.dk/games/indie9000/Okt2009/ClimateConflict/WebPlayer.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,ScrapBots,PC (XNA),,Ukendt,Indiejam,http://indiejam.dk/scrapbots/,http://indiejam.dk/scrapbots/,,,http://indiejam.dk/wp-content/uploads/2012/03/ScrapBotsScreenShot-1.png,,,,,,0,1,0,1,0,0,2009/10/30,0,0,Ingen Download-url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
